frame_id,original_frame_number,timestamp_seconds,fps,sharpness_score,brightness_score,contrast_score,motion_score,similarity_score,selection_score,reason_for_selection
frame_000019,555,22.200,25.00,16589.88,0.9605,1.0000,0.0002,0.9494,0.4138,periodic_coverage_keepalive
frame_000020,580,23.200,25.00,11147.91,0.9925,0.9869,0.0928,0.8523,0.4728,novel_scene_content
frame_000021,590,23.600,25.00,11105.96,0.9722,0.9800,0.0806,0.8490,0.4682,novel_scene_content
frame_000022,640,25.600,25.00,11905.26,0.9678,0.9912,0.0006,0.9695,0.4067,periodic_coverage_keepalive
frame_000023,685,27.400,25.00,2802.83,0.6932,0.4841,1.0000,0.3676,0.7891,significant_motion_and_scene_change
frame_000024,695,27.800,25.00,1382.00,0.8818,0.8960,1.0000,0.5239,0.7944,significant_motion_and_scene_change
frame_000025,705,28.200,25.00,1485.00,0.9204,0.9531,1.0000,0.6210,0.7700,significant_motion_and_scene_change
frame_000026,715,28.600,25.00,3547.59,0.9356,0.9700,0.5005,0.8105,0.5820,significant_motion_and_scene_change
frame_000027,725,29.000,25.00,3717.15,0.8414,0.9612,0.5284,0.8673,0.5588,significant_motion_and_scene_change
frame_000028,740,29.600,25.00,3648.11,0.9178,0.9627,0.7292,0.8309,0.6295,significant_motion_and_scene_change
frame_000029,750,30.000,25.00,4097.98,0.9168,0.9333,0.1490,0.8599,0.4713,novel_scene_content
frame_000030,780,31.200,25.00,3937.98,0.9109,0.8607,0.0554,0.8682,0.4371,novel_scene_content
frame_000031,815,32.600,25.00,6249.58,0.7357,0.8547,1.0000,0.3692,0.8298,significant_motion_and_scene_change
frame_000032,865,34.600,25.00,5355.88,0.7398,0.8418,0.0517,0.9705,0.3814,periodic_coverage_keepalive
frame_000033,915,36.600,25.00,5545.68,0.7466,0.8418,0.0484,0.9641,0.3835,periodic_coverage_keepalive
frame_000034,965,38.600,25.00,5537.34,0.7784,0.8486,0.0583,0.9338,0.4004,periodic_coverage_keepalive
frame_000035,990,39.600,25.00,5712.41,0.8119,0.8523,0.0892,0.8230,0.4507,novel_scene_content
frame_000036,1040,41.600,25.00,6111.92,0.8325,0.8559,0.0758,0.9415,0.4083,periodic_coverage_keepalive
frame_000037,1090,43.600,25.00,6436.17,0.8541,0.8621,0.0722,0.9546,0.4056,periodic_coverage_keepalive
frame_000038,1140,45.600,25.00,5627.91,0.8787,0.8682,0.1130,0.9509,0.4201,periodic_coverage_keepalive
frame_000039,1190,47.600,25.00,6723.11,0.8765,0.8723,0.1180,0.9100,0.4359,periodic_coverage_keepalive
frame_000040,1240,49.600,25.00,6759.92,0.8727,0.8862,0.1857,0.9400,0.4433,periodic_coverage_keepalive
frame_000041,1290,51.600,25.00,7052.91,0.8668,0.8942,0.2448,0.9371,0.4593,periodic_coverage_keepalive
frame_000042,1340,53.600,25.00,7136.98,0.8621,0.9049,0.2754,0.9066,0.4782,periodic_coverage_keepalive
frame_000043,1390,55.600,25.00,7346.96,0.8625,0.9176,0.3586,0.9270,0.4932,periodic_coverage_keepalive
frame_000044,1440,57.600,25.00,6819.76,0.8559,0.9188,0.4209,0.9204,0.5106,periodic_coverage_keepalive
frame_000045,1475,59.000,25.00,8155.20,0.8618,0.9317,0.4430,0.8762,0.5334,significant_motion_and_scene_change
frame_000046,1525,61.000,25.00,7636.90,0.8647,0.9353,0.4338,0.9110,0.5196,periodic_coverage_keepalive
frame_000047,1575,63.000,25.00,6682.78,0.8655,0.9209,0.3569,0.9160,0.4973,periodic_coverage_keepalive
frame_000048,1620,64.800,25.00,5670.76,0.8535,0.8973,0.2693,0.8796,0.4845,significant_motion_and_scene_change
frame_000049,1670,66.800,25.00,5353.57,0.8566,0.8970,0.2978,0.9255,0.4759,periodic_coverage_keepalive
frame_000050,1720,68.800,25.00,4273.81,0.8392,0.8855,0.1579,0.9253,0.4381,periodic_coverage_keepalive
frame_000051,1755,70.200,25.00,5164.20,0.8500,0.8888,0.1214,0.8368,0.4614,novel_scene_content
frame_000052,1805,72.200,25.00,4987.60,0.8506,0.8795,0.0140,0.9627,0.3896,periodic_coverage_keepalive
frame_000053,1855,74.200,25.00,5058.68,0.8415,0.8707,0.0067,0.9638,0.3856,periodic_coverage_keepalive
frame_000054,1905,76.200,25.00,4825.21,0.8387,0.8629,0.0424,0.9645,0.3932,periodic_coverage_keepalive
frame_000055,1955,78.200,25.00,5016.93,0.8322,0.8656,0.0800,0.9283,0.4149,periodic_coverage_keepalive
frame_000056,2005,80.200,25.00,4555.76,0.8279,0.8705,0.1412,0.8805,0.4470,periodic_coverage_keepalive
frame_000057,2055,82.200,25.00,5565.92,0.8443,0.8790,0.2268,0.9314,0.4530,periodic_coverage_keepalive
frame_000058,2105,84.200,25.00,3800.76,0.8478,0.8718,0.1994,0.9359,0.4442,periodic_coverage_keepalive
frame_000059,2155,86.200,25.00,5527.04,0.8321,0.8627,0.1762,0.9406,0.4343,periodic_coverage_keepalive
frame_000060,2205,88.200,25.00,5894.05,0.8374,0.8771,0.2223,0.9164,0.4563,periodic_coverage_keepalive
frame_000061,2255,90.200,25.00,5663.70,0.8361,0.9013,0.3186,0.9280,0.4786,periodic_coverage_keepalive
frame_000062,2305,92.200,25.00,6966.15,0.8497,0.9148,0.3592,0.8663,0.5130,significant_motion_and_scene_change
frame_000063,2355,94.200,25.00,7012.34,0.8451,0.9138,0.3378,0.9218,0.4877,periodic_coverage_keepalive
frame_000064,2405,96.200,25.00,7439.76,0.8388,0.9015,0.3053,0.9218,0.4777,periodic_coverage_keepalive
frame_000065,2455,98.200,25.00,7573.46,0.8265,0.8984,0.2823,0.8914,0.4811,periodic_coverage_keepalive
frame_000066,2505,100.200,25.00,7049.87,0.8287,0.8929,0.2430,0.9321,0.4567,periodic_coverage_keepalive
frame_000067,2555,102.200,25.00,6316.67,0.8430,0.8916,0.2344,0.9291,0.4569,periodic_coverage_keepalive
frame_000068,2605,104.200,25.00,6889.20,0.8518,0.8917,0.2311,0.9189,0.4605,periodic_coverage_keepalive
frame_000069,2655,106.200,25.00,4921.64,0.8662,0.8922,0.2552,0.9245,0.4661,periodic_coverage_keepalive
frame_000070,2695,107.800,25.00,6656.76,0.8727,0.8823,0.2202,0.8722,0.4753,significant_motion_and_scene_change
frame_000071,2745,109.800,25.00,6266.34,0.8708,0.8752,0.2116,0.9290,0.4524,periodic_coverage_keepalive
frame_000072,2795,111.800,25.00,5961.09,0.8432,0.8717,0.1802,0.9326,0.4401,periodic_coverage_keepalive
frame_000073,2845,113.800,25.00,5451.78,0.7469,0.8641,0.0130,0.9239,0.3910,periodic_coverage_keepalive
frame_000074,2890,115.600,25.00,5715.61,0.7271,0.8548,0.0076,0.8167,0.4242,novel_scene_content
frame_000075,2935,117.400,25.00,3733.60,0.8765,0.8664,1.0000,0.6006,0.7641,significant_motion_and_scene_change
frame_000076,2985,119.400,25.00,5220.23,0.8667,0.8602,0.1491,0.9514,0.4270,periodic_coverage_keepalive
frame_000077,3035,121.400,25.00,5077.98,0.8594,0.8619,0.1828,0.9479,0.4361,periodic_coverage_keepalive
frame_000078,3085,123.400,25.00,4801.11,0.8485,0.8627,0.2054,0.9436,0.4422,periodic_coverage_keepalive
frame_000079,3135,125.400,25.00,5115.82,0.8477,0.8664,0.2234,0.8976,0.4631,periodic_coverage_keepalive
frame_000080,3185,127.400,25.00,5440.26,0.8518,0.8749,0.2230,0.9399,0.4495,periodic_coverage_keepalive
frame_000081,3235,129.400,25.00,5384.27,0.8614,0.8829,0.2533,0.9379,0.4595,periodic_coverage_keepalive
frame_000082,3285,131.400,25.00,5725.45,0.8811,0.8927,0.2533,0.9074,0.4731,periodic_coverage_keepalive
frame_000083,3335,133.400,25.00,5656.42,0.8891,0.8956,0.2843,0.9324,0.4732,periodic_coverage_keepalive
frame_000084,3385,135.400,25.00,5300.31,0.8890,0.8931,0.3326,0.9287,0.4863,periodic_coverage_keepalive
frame_000085,3435,137.400,25.00,5516.24,0.8719,0.8842,0.3118,0.9086,0.4856,periodic_coverage_keepalive
frame_000086,3485,139.400,25.00,5162.69,0.8535,0.8617,0.2770,0.9332,0.4642,periodic_coverage_keepalive
frame_000087,3535,141.400,25.00,5483.67,0.8589,0.8539,0.2540,0.9363,0.4571,periodic_coverage_keepalive
frame_000088,3585,143.400,25.00,5880.48,0.8586,0.8510,0.2456,0.8969,0.4684,periodic_coverage_keepalive
frame_000089,3635,145.400,25.00,5856.21,0.8373,0.8602,0.2237,0.9361,0.4480,periodic_coverage_keepalive
frame_000090,3685,147.400,25.00,5188.05,0.7565,0.8605,0.1776,0.9255,0.4322,periodic_coverage_keepalive
frame_000091,3730,149.200,25.00,5693.95,0.8196,0.9438,1.0000,0.5922,0.7691,significant_motion_and_scene_change
frame_000092,3780,151.200,25.00,3631.60,0.7959,0.9648,0.1893,0.9374,0.4453,periodic_coverage_keepalive
frame_000093,3830,153.200,25.00,5104.00,0.7627,0.9572,0.0748,0.9371,0.4127,periodic_coverage_keepalive
frame_000094,3860,154.400,25.00,5441.69,0.7716,0.9705,0.1101,0.8756,0.4453,novel_scene_content
frame_000095,3905,156.200,25.00,7405.46,0.7775,0.9813,0.1268,0.7744,0.4865,novel_scene_content
frame_000096,3955,158.200,25.00,6544.49,0.7830,0.9841,0.1063,0.9441,0.4229,periodic_coverage_keepalive
frame_000097,4005,160.200,25.00,6863.47,0.7839,0.9985,0.0873,0.9491,0.4179,periodic_coverage_keepalive
frame_000098,4030,161.200,25.00,6230.42,0.7869,0.9983,0.0924,0.8755,0.4452,novel_scene_content
frame_000099,4080,163.200,25.00,5495.51,0.7969,0.9969,0.1023,0.9591,0.4193,periodic_coverage_keepalive
frame_000100,4130,165.200,25.00,5319.96,0.7870,0.9849,0.1171,0.8070,0.4740,novel_scene_content
frame_000101,4155,166.200,25.00,5947.58,0.7840,0.9749,0.1570,0.8183,0.4787,novel_scene_content
frame_000102,4205,168.200,25.00,5041.64,0.7736,0.9362,0.1651,0.9281,0.4374,periodic_coverage_keepalive
frame_000103,4255,170.200,25.00,5531.72,0.7648,0.9163,0.2126,0.9301,0.4457,periodic_coverage_keepalive
frame_000104,4305,172.200,25.00,8053.86,0.8308,0.9396,0.3225,0.7999,0.5277,significant_motion_and_scene_change
frame_000105,4355,174.200,25.00,8025.04,0.8506,0.9544,0.3485,0.8793,0.5099,significant_motion_and_scene_change
frame_000106,4405,176.200,25.00,8274.12,0.8432,0.9801,0.3794,0.9241,0.5037,periodic_coverage_keepalive
frame_000107,4455,178.200,25.00,8372.93,0.8420,0.9991,0.3857,0.8886,0.5195,periodic_coverage_keepalive
frame_000108,4505,180.200,25.00,7504.31,0.8389,1.0000,0.4090,0.9168,0.5153,periodic_coverage_keepalive
frame_000109,4555,182.200,25.00,7315.41,0.8526,1.0000,0.3846,0.9018,0.5158,periodic_coverage_keepalive
frame_000110,4605,184.200,25.00,6190.54,0.8699,0.9979,0.3568,0.8783,0.5186,significant_motion_and_scene_change
frame_000111,4655,186.200,25.00,6023.31,0.8808,0.9898,0.3195,0.9138,0.4971,periodic_coverage_keepalive
frame_000112,4705,188.200,25.00,6553.48,0.8754,0.9985,0.2627,0.9177,0.4819,periodic_coverage_keepalive
frame_000113,4725,189.000,25.00,4554.08,0.8682,0.8840,1.0000,0.4458,0.8192,significant_motion_and_scene_change
frame_000114,4775,191.000,25.00,4033.99,0.8665,0.8819,0.1406,0.9516,0.4269,periodic_coverage_keepalive
frame_000115,4825,193.000,25.00,4172.68,0.8709,0.8766,0.1222,0.9632,0.4182,periodic_coverage_keepalive
frame_000116,4875,195.000,25.00,4016.69,0.8743,0.8756,0.1144,0.9280,0.4288,periodic_coverage_keepalive
frame_000117,4925,197.000,25.00,3832.44,0.8751,0.8677,0.1031,0.9619,0.4134,periodic_coverage_keepalive
frame_000118,4940,197.600,25.00,8367.60,0.9970,0.7006,1.0000,0.2665,0.8765,significant_motion_and_scene_change
frame_000119,4990,199.600,25.00,9004.10,0.9906,0.7011,0.1714,0.9319,0.4359,periodic_coverage_keepalive
frame_000120,5040,201.600,25.00,8256.70,0.9876,0.6947,0.1894,0.9325,0.4392,periodic_coverage_keepalive
frame_000121,5085,203.400,25.00,8897.45,0.9760,0.6934,0.1947,0.8759,0.4591,novel_scene_content
frame_000122,5120,204.800,25.00,9588.50,0.9710,0.6953,0.2936,0.8360,0.4974,significant_motion_and_scene_change
frame_000123,5170,206.800,25.00,8658.46,0.9563,0.6794,0.3101,0.9189,0.4695,periodic_coverage_keepalive
frame_000124,5220,208.800,25.00,9438.35,0.9501,0.6711,0.3050,0.9186,0.4669,periodic_coverage_keepalive
frame_000125,5245,209.800,25.00,8567.21,0.8911,0.8245,1.0000,0.3330,0.8550,significant_motion_and_scene_change
frame_000126,5275,211.000,25.00,8340.69,0.8769,0.8211,0.8237,0.8642,0.6233,significant_motion_and_scene_change
frame_000127,5295,211.800,25.00,8548.50,0.8728,0.8189,0.9410,0.8632,0.6523,significant_motion_and_scene_change
frame_000128,5315,212.600,25.00,8862.45,0.8728,0.8292,1.0000,0.8710,0.6653,significant_motion_and_scene_change
frame_000129,5335,213.400,25.00,8365.80,0.8982,0.8248,0.9078,0.8788,0.6417,significant_motion_and_scene_change
frame_000130,5355,214.200,25.00,8600.08,0.9017,0.8371,0.6697,0.8785,0.5838,significant_motion_and_scene_change
frame_000131,5370,214.800,25.00,9433.84,0.8748,0.8520,0.5873,0.8677,0.5658,significant_motion_and_scene_change
frame_000132,5400,216.000,25.00,9757.66,0.8897,0.8726,0.5381,0.8769,0.5538,significant_motion_and_scene_change
frame_000133,5435,217.400,25.00,9585.16,0.8668,0.8992,0.5375,0.8750,0.5547,significant_motion_and_scene_change
frame_000134,5475,219.000,25.00,9768.08,0.8623,0.9030,0.4736,0.8735,0.5392,significant_motion_and_scene_change
frame_000135,5510,220.400,25.00,9519.62,0.8739,0.8914,0.4025,0.8792,0.5194,significant_motion_and_scene_change
frame_000136,5540,221.600,25.00,5883.95,0.8474,0.8921,1.0000,0.4531,0.8154,significant_motion_and_scene_change
frame_000137,5590,223.600,25.00,5976.74,0.8378,0.9019,0.3754,0.9170,0.4969,periodic_coverage_keepalive
frame_000138,5640,225.600,25.00,6058.46,0.8325,0.9029,0.3674,0.9174,0.4943,periodic_coverage_keepalive
frame_000139,5685,227.400,25.00,6571.07,0.8414,0.8991,0.3342,0.8768,0.5007,significant_motion_and_scene_change
frame_000140,5735,229.400,25.00,5147.38,0.8389,0.9180,0.3322,0.9144,0.4887,periodic_coverage_keepalive
frame_000141,5785,231.400,25.00,5846.27,0.8330,0.9207,0.2820,0.9303,0.4703,periodic_coverage_keepalive
frame_000142,5835,233.400,25.00,5433.00,0.8287,0.9251,0.2198,0.9314,0.4543,periodic_coverage_keepalive
frame_000143,5870,234.800,25.00,6493.17,0.9028,0.7919,1.0000,0.4781,0.8021,significant_motion_and_scene_change
frame_000144,5920,236.800,25.00,6019.26,0.9049,0.7829,0.0797,0.9587,0.4032,periodic_coverage_keepalive
frame_000145,5970,238.800,25.00,6189.97,0.9120,0.7814,0.0788,0.9599,0.4031,periodic_coverage_keepalive
frame_000146,6020,240.800,25.00,4749.99,0.9236,0.7807,0.1066,0.9391,0.4184,periodic_coverage_keepalive
frame_000147,6070,242.800,25.00,6300.18,0.9187,0.7736,0.0852,0.9596,0.4047,periodic_coverage_keepalive
frame_000148,6120,244.800,25.00,6038.78,0.9212,0.7706,0.0755,0.9632,0.4009,periodic_coverage_keepalive
frame_000149,6160,246.400,25.00,7367.86,0.9687,0.7428,1.0000,0.4122,0.8269,significant_motion_and_scene_change
frame_000150,6210,248.400,25.00,7471.90,0.9721,0.7398,0.4231,0.9002,0.5119,periodic_coverage_keepalive
frame_000151,6260,250.400,25.00,7212.42,0.9774,0.7320,0.4231,0.8933,0.5141,periodic_coverage_keepalive
frame_000152,6310,252.400,25.00,6598.18,0.9803,0.7235,0.4406,0.9190,0.5089,periodic_coverage_keepalive
frame_000153,6340,253.600,25.00,10533.18,0.9211,0.9062,1.0000,0.3040,0.8763,significant_motion_and_scene_change
frame_000154,6390,255.600,25.00,9891.00,0.9294,0.9066,0.5925,0.8915,0.5697,periodic_coverage_keepalive
frame_000155,6435,257.400,25.00,9203.63,0.9303,0.8965,0.6356,0.8480,0.5948,significant_motion_and_scene_change
frame_000156,6480,259.200,25.00,8516.06,0.9282,0.8916,0.6680,0.8750,0.5927,significant_motion_and_scene_change
frame_000157,6510,260.400,25.00,9163.17,0.9322,0.8869,0.6965,0.8684,0.6021,significant_motion_and_scene_change
frame_000158,6540,261.600,25.00,8586.59,0.9464,0.8810,0.6604,0.8767,0.5910,significant_motion_and_scene_change
frame_000159,6560,262.400,25.00,4615.53,0.8799,0.8751,1.0000,0.4082,0.8326,significant_motion_and_scene_change
frame_000160,6610,264.400,25.00,4515.65,0.8628,0.8962,0.2747,0.9398,0.4656,periodic_coverage_keepalive
frame_000161,6620,264.800,25.00,4814.35,0.8627,0.8968,0.2880,0.7926,0.5205,significant_motion_and_scene_change
frame_000162,6670,266.800,25.00,4790.99,0.8602,0.9043,0.3122,0.8795,0.4967,significant_motion_and_scene_change
frame_000163,6710,268.400,25.00,4782.40,0.8635,0.9003,0.3092,0.8707,0.4989,significant_motion_and_scene_change
frame_000164,6760,270.400,25.00,4142.82,0.8710,0.8750,0.3583,0.8902,0.5026,periodic_coverage_keepalive
frame_000165,6810,272.400,25.00,4671.62,0.8780,0.8630,0.3815,0.8962,0.5058,periodic_coverage_keepalive
frame_000166,6840,273.600,25.00,4897.41,0.8891,0.8464,0.4037,0.8761,0.5178,significant_motion_and_scene_change
frame_000167,6850,274.000,25.00,3313.60,0.9996,0.8601,1.0000,0.5287,0.8009,significant_motion_and_scene_change
frame_000168,6900,276.000,25.00,4169.94,0.9988,0.8545,0.0894,0.9509,0.4249,periodic_coverage_keepalive
frame_000169,6950,278.000,25.00,3610.82,0.9965,0.8447,0.1453,0.8832,0.4613,periodic_coverage_keepalive
frame_000170,7000,280.000,25.00,3155.80,0.9906,0.8422,0.1327,0.9430,0.4364,periodic_coverage_keepalive
frame_000171,7050,282.000,25.00,3530.70,0.9793,0.8447,0.1196,0.9582,0.4269,periodic_coverage_keepalive
frame_000172,7100,284.000,25.00,4358.92,0.9782,0.8459,0.1194,0.8910,0.4504,periodic_coverage_keepalive
frame_000173,7150,286.000,25.00,4028.82,0.9760,0.8478,0.1731,0.9590,0.4400,periodic_coverage_keepalive
frame_000174,7165,286.600,25.00,7008.65,0.8205,0.8909,1.0000,0.5157,0.7906,significant_motion_and_scene_change
frame_000175,7215,288.600,25.00,6146.33,0.8251,0.8731,0.1047,0.8493,0.4487,novel_scene_content
frame_000176,7265,290.600,25.00,5926.40,0.8267,0.8615,0.1373,0.9369,0.4252,periodic_coverage_keepalive
frame_000177,7315,292.600,25.00,5815.12,0.8279,0.8492,0.1613,0.9395,0.4292,periodic_coverage_keepalive
frame_000178,7360,294.400,25.00,7002.33,0.8294,0.8461,0.1948,0.8735,0.4605,novel_scene_content
frame_000179,7400,296.000,25.00,11544.05,0.8932,0.8093,1.0000,0.6675,0.7366,significant_motion_and_scene_change
frame_000180,7450,298.000,25.00,12156.93,0.9133,0.8154,0.1884,0.9071,0.4525,periodic_coverage_keepalive
frame_000181,7500,300.000,25.00,11409.77,0.9372,0.8189,0.1707,0.9090,0.4501,periodic_coverage_keepalive
frame_000182,7545,301.800,25.00,12863.69,0.9420,0.8323,0.2524,0.8765,0.4838,significant_motion_and_scene_change
frame_000183,7585,303.400,25.00,8120.74,0.8675,0.8330,1.0000,0.4748,0.8039,significant_motion_and_scene_change
frame_000184,7630,305.200,25.00,7479.00,0.8700,0.8305,0.1605,0.8728,0.4547,novel_scene_content
frame_000185,7680,307.200,25.00,7988.89,0.8708,0.8325,0.0978,0.9547,0.4106,periodic_coverage_keepalive
frame_000186,7730,309.200,25.00,9307.15,0.1124,0.5642,1.0000,0.0522,0.8494,significant_motion_and_scene_change
frame_000187,7780,311.200,25.00,9382.43,0.1094,0.5656,0.0211,0.9871,0.2773,periodic_coverage_keepalive
frame_000188,7830,313.200,25.00,9297.42,0.1039,0.5681,0.0196,0.9876,0.2764,periodic_coverage_keepalive
frame_000189,7880,315.200,25.00,8995.55,0.0989,0.5698,0.0160,0.9877,0.2752,periodic_coverage_keepalive
frame_000190,7930,317.200,25.00,8960.01,0.0954,0.5721,0.0132,0.9896,0.2737,periodic_coverage_keepalive
frame_000191,7980,319.200,25.00,9245.28,0.0931,0.5733,0.0138,0.9891,0.2739,periodic_coverage_keepalive
frame_000192,8030,321.200,25.00,9381.79,0.0917,0.5734,0.0139,0.9895,0.2737,periodic_coverage_keepalive
frame_000193,8080,323.200,25.00,9421.71,0.0945,0.5725,0.0152,0.9903,0.2739,periodic_coverage_keepalive
frame_000194,8130,325.200,25.00,9303.59,0.0958,0.5704,0.0171,0.9890,0.2747,periodic_coverage_keepalive
frame_000195,8180,327.200,25.00,9342.61,0.0966,0.5688,0.0152,0.9887,0.2743,periodic_coverage_keepalive
